         2592 function calls (2590 primitive calls) in 24.739 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   24.739   24.739 server.py:143(main)
        2    0.000    0.000   24.731   12.366 socket.py:288(accept)
        2   17.441    8.721   24.731   12.366 {method '_accept' of '_socket.socket' objects}
        1    0.000    0.000    7.290    7.290 threading.py:1016(_bootstrap)
        1    0.000    0.000    7.290    7.290 threading.py:1056(_bootstrap_inner)
        1    0.001    0.001    7.290    7.290 threading.py:999(run)
        1    0.001    0.001    7.289    7.289 server.py:79(handle_client)
        2    7.210    3.605    7.210    3.605 {method 'recv' of '_socket.socket' objects}
        3    0.000    0.000    0.036    0.012 server.py:25(process_image)
        3    0.035    0.012    0.035    0.012 {Canny}
        3    0.021    0.007    0.021    0.007 {imdecode}
        3    0.016    0.005    0.016    0.005 {imencode}
       24    0.001    0.000    0.005    0.000 server.py:21(log)
       24    0.000    0.000    0.004    0.000 __init__.py:2208(info)
       24    0.000    0.000    0.004    0.000 __init__.py:1529(info)
       24    0.000    0.000    0.004    0.000 __init__.py:1660(_log)
        1    0.004    0.004    0.004    0.004 {method 'bind' of '_socket.socket' objects}
       24    0.000    0.000    0.002    0.000 __init__.py:1686(handle)
       24    0.000    0.000    0.002    0.000 __init__.py:1746(callHandlers)
       24    0.000    0.000    0.002    0.000 __init__.py:1011(handle)
       24    0.000    0.000    0.002    0.000 __init__.py:1266(emit)
       24    0.000    0.000    0.002    0.000 __init__.py:1148(emit)
       24    0.000    0.000    0.001    0.000 __init__.py:988(format)
       24    0.000    0.000    0.001    0.000 __init__.py:690(format)
        2    0.001    0.001    0.001    0.001 socket.py:221(__init__)
       24    0.000    0.000    0.001    0.000 __init__.py:622(formatTime)
       24    0.000    0.000    0.001    0.000 __init__.py:1645(makeRecord)
       24    0.000    0.000    0.001    0.000 __init__.py:298(__init__)
       24    0.001    0.000    0.001    0.000 {built-in method time.localtime}
       24    0.000    0.000    0.001    0.000 __init__.py:1611(findCaller)
        3    0.000    0.000    0.001    0.000 base64.py:51(b64encode)
        3    0.001    0.000    0.001    0.000 {built-in method binascii.b2a_base64}
       24    0.000    0.000    0.001    0.000 __init__.py:1137(flush)
        3    0.000    0.000    0.001    0.000 base64.py:65(b64decode)
        1    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 encoder.py:183(encode)
        3    0.000    0.000    0.000    0.000 {built-in method binascii.a2b_base64}
        1    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
       24    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       96    0.000    0.000    0.000    0.000 __init__.py:200(_is_internal_frame)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       96    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       24    0.000    0.000    0.000    0.000 <frozen ntpath>:268(basename)
       24    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
        4    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
       24    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       24    0.000    0.000    0.000    0.000 <frozen ntpath>:257(splitext)
       24    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
       24    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       96    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
       24    0.000    0.000    0.000    0.000 __init__.py:674(formatMessage)
        4    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       24    0.000    0.000    0.000    0.000 __init__.py:462(format)
       24    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       24    0.000    0.000    0.000    0.000 __init__.py:455(_format)
        1    0.000    0.000    0.000    0.000 {method 'listen' of '_socket.socket' objects}
       24    0.000    0.000    0.000    0.000 __init__.py:668(usesTime)
       48    0.000    0.000    0.000    0.000 __init__.py:968(acquire)
       24    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        1    0.000    0.000    0.000    0.000 threading.py:973(start)
        1    0.000    0.000    0.000    0.000 threading.py:637(wait)
      222    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 threading.py:882(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:170(<lambda>)
        2    0.000    0.000    0.000    0.000 socket.py:501(close)
      120    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 socket.py:497(_real_close)
       24    0.000    0.000    0.000    0.000 __init__.py:447(usesTime)
       72    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       24    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x000002C26CE984A0}
       72    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
       24    0.000    0.000    0.000    0.000 __init__.py:129(getLevelName)
       48    0.000    0.000    0.000    0.000 __init__.py:975(release)
       54    0.000    0.000    0.000    0.000 {built-in method time.time}
      168    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       24    0.000    0.000    0.000    0.000 threading.py:1483(current_thread)
        3    0.000    0.000    0.000    0.000 base64.py:34(_bytes_from_decode_data)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       24    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
       49    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       54    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       24    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 threading.py:616(set)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       24    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       48    0.000    0.000    0.000    0.000 __init__.py:831(filter)
        1    0.000    0.000    0.000    0.000 threading.py:588(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 socket.py:517(family)
       24    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       24    0.000    0.000    0.000    0.000 threading.py:1180(name)
       24    0.000    0.000    0.000    0.000 __init__.py:383(getMessage)
       50    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       24    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:323(wait)
       24    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        2    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.frombuffer}
        1    0.000    0.000    0.000    0.000 threading.py:424(notify_all)
       49    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1043(_set_tstate_lock)
      6/4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.000    0.000 threading.py:394(notify)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 threading.py:277(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.getdefaulttimeout}
        1    0.000    0.000    0.000    0.000 threading.py:1106(_delete)
        2    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
        2    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
        2    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
        1    0.000    0.000    0.000    0.000 socket.py:523(type)
        1    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 threading.py:837(_newname)
        1    0.000    0.000    0.000    0.000 threading.py:1036(_set_ident)
        2    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        1    0.000    0.000    0.000    0.000 threading.py:311(_acquire_restore)
        1    0.000    0.000    0.000    0.000 threading.py:1354(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1040(_set_native_id)
        1    0.000    0.000    0.000    0.000 threading.py:308(_release_save)
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        3    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1234(daemon)
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1369(disable)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1776(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.daemon_threads_allowed}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 threading.py:601(is_set)
